region,programme_title,p1_site,p1_speciality,p2_site,p2_speciality,p3_site,p3_speciality,p4_site,p4_speciality,p4_description,p5_site,p5_speciality,p5_description,p6_site,p6_speciality,p6_description
West,ScotW16010,Forth Valley Royal Hospital,General (Internal) Medicine,Forth Valley Royal Hospital,Acute Internal Medicine,Forth Valley Royal Hospital,Trauma and Orthopaedic Surgery,Queen Elizabeth University Hospital,General (Internal) Medicine,,Queen Elizabeth University Hospital,Otolaryngology,,The Peat Road Medical Practice,General Practice,"The Peat Road Medical Practice, Pollok Health Centre, 21 Cowglen Road, Glasgow, G53 6EQ (G52293)"
West,ScotW16011,Forth Valley Royal Hospital,Trauma and Orthopaedic Surgery,Forth Valley Royal Hospital,General (Internal) Medicine,Forth Valley Royal Hospital,Acute Internal Medicine,The Peat Road Medical Practice,General Practice,"The Peat Road Medical Practice, Pollok Health Centre, 21 Cowglen Road, Glasgow, G53 6EQ (G52293)",Queen Elizabeth University Hospital,General (Internal) Medicine,,Queen Elizabeth University Hospital,Otolaryngology,
West,ScotW16012,Forth Valley Royal Hospital,Acute Internal Medicine,Forth Valley Royal Hospital,Trauma and Orthopaedic Surgery,Forth Valley Royal Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Otolaryngology,,The Peat Road Medical Practice,General Practice,"The Peat Road Medical Practice, Pollok Health Centre, 21 Cowglen Road, Glasgow, G53 6EQ (G52293)",Queen Elizabeth University Hospital,General (Internal) Medicine,
West,ScotW16013,Forth Valley Royal Hospital,General (Internal) Medicine,Forth Valley Royal Hospital,Acute Internal Medicine,Forth Valley Royal Hospital,Trauma and Orthopaedic Surgery,Queen Elizabeth University Hospital,Geriatric Medicine,,Queen Elizabeth University Hospital,Trauma and Orthopaedic Surgery,,The Peat Road Medical Practice,General Practice,"The Peat Road Medical Practice, Pollok Health Centre, 21 Cowglen Road, Glasgow, G53 6EQ (G52293)"
West,ScotW16014,Forth Valley Royal Hospital,Trauma and Orthopaedic Surgery,Forth Valley Royal Hospital,General (Internal) Medicine,Forth Valley Royal Hospital,Acute Internal Medicine,The Peat Road Medical Practice,General Practice,"The Peat Road Medical Practice, Pollok Health Centre, 21 Cowglen Road, Glasgow, G53 6EQ (G52293)",Queen Elizabeth University Hospital,Geriatric Medicine,,Queen Elizabeth University Hospital,Trauma and Orthopaedic Surgery,
West,ScotW16015,Forth Valley Royal Hospital,Acute Internal Medicine,Forth Valley Royal Hospital,Trauma and Orthopaedic Surgery,Forth Valley Royal Hospital,General (Internal) Medicine,Queen Elizabeth University Hospital,Trauma and Orthopaedic Surgery,,The Peat Road Medical Practice,General Practice,"The Peat Road Medical Practice, Pollok Health Centre, 21 Cowglen Road, Glasgow, G53 6EQ (G52293)",Queen Elizabeth University Hospital,Geriatric Medicine,
West,ScotW17001,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,Emergency Medicine,University Hospital Monklands,General Surgery,University Hospital Monklands,Otolaryngology,,NHS Lanarkshire,General Practice,various locations,University Hospital Monklands,Gastroenterology,
West,ScotW17002,University Hospital Monklands,General Surgery,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,Emergency Medicine,University Hospital Monklands,Gastroenterology,,University Hospital Monklands,Otolaryngology,,NHS Lanarkshire,General Practice,
West,ScotW17003,University Hospital Monklands,Emergency Medicine,University Hospital Monklands,General Surgery,University Hospital Monklands,General (Internal) Medicine,NHS Lanarkshire,General Practice,,University Hospital Monklands,Gastroenterology,,University Hospital Monklands,Otolaryngology,
West,ScotW17004,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,Respiratory Medicine,University Hospital Monklands,General Surgery,University Hospital Monklands,Emergency Medicine,,NHS Lanarkshire,General Practice,various locations,University Hospital Monklands,Respiratory Medicine,
West,ScotW17005,University Hospital Monklands,General Surgery,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,Respiratory Medicine,University Hospital Monklands,Respiratory Medicine,,University Hospital Monklands,Emergency Medicine,,NHS Lanarkshire,General Practice,
West,ScotW17006,University Hospital Monklands,Respiratory Medicine,University Hospital Monklands,General Surgery,University Hospital Monklands,General (Internal) Medicine,NHS Lanarkshire,General Practice,,University Hospital Monklands,Respiratory Medicine,,University Hospital Monklands,Emergency Medicine,
West,ScotW17007,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,General Surgery,University Hospital Monklands,General Surgery,,University Hospital Monklands,Infectious Diseases,,University Hospital Monklands,Emergency Medicine,
West,ScotW17008,University Hospital Monklands,General Surgery,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,Emergency Medicine,,University Hospital Monklands,General Surgery,,University Hospital Monklands,Infectious Diseases,
West,ScotW17009,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,General Surgery,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,Infectious Diseases,,University Hospital Monklands,Emergency Medicine,,University Hospital Monklands,General Surgery,
West,ScotW17010,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,General Surgery,The Murray Surgery,General Practice,"The Murray Surgery, 50 The Murray Road, East Kilbride, G75 0RT (L63301)",University Hospital Monklands,Emergency Medicine,,University Hospital Monklands,Geriatric Medicine,
West,ScotW17011,University Hospital Monklands,General Surgery,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,Geriatric Medicine,,The Murray Surgery,General Practice,"The Murray Surgery, 50 The Murray Road, East Kilbride, G75 0RT (L63301)",University Hospital Monklands,Emergency Medicine,
West,ScotW17012,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,General Surgery,University Hospital Monklands,General (Internal) Medicine,University Hospital Monklands,Emergency Medicine,,University Hospital Monklands,Geriatric Medicine,,The Murray Surgery,General Practice,"The Murray Surgery, 50 The Murray Road, East Kilbride, G75 0RT (L63301)"
West,ScotW17013,University Hospital Monklands,Acute Internal Medicine,University Hospital Monklands,Renal Medicine,University Hospital Monklands,General Surgery,The Murray Surgery,General Practice,"The Murray Surgery, 50 The Murray Road, East Kilbride, G75 0RT (L63301)",University Hospital Monklands,Acute Internal Medicine,,University Hospital Monklands,Renal Medicine,
West,ScotW17014,University Hospital Monklands,General Surgery,University Hospital Monklands,Acute Internal Medicine,University Hospital Monklands,Renal Medicine,University Hospital Monklands,Renal Medicine,,The Murray Surgery,General Practice,"The Murray Surgery, 50 The Murray Road, East Kilbride, G75 0RT (L63301)",University Hospital Monklands,Acute Internal Medicine,
West,ScotW17015,University Hospital Monklands,Renal Medicine,University Hospital Monklands,General Surgery,University Hospital Monklands,Acute Internal Medicine,University Hospital Monklands,Acute Internal Medicine,,University Hospital Monklands,Renal Medicine,,The Murray Surgery,General Practice,"The Murray Surgery, 50 The Murray Road, East Kilbride, G75 0RT (L63301)"
West,ScotW18001,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Geriatric Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Gastroenterology,,"Drs Dunn, Lynas & Rodgers",General Practice,"Drs Dunn, Lynas & Rodgers, Bridgeton Health Centre, 201 Abercromby Street, Glasgow, G40 2DA (G46606)",Glasgow Royal Infirmary,General Surgery,
West,ScotW18002,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Geriatric Medicine,Glasgow Royal Infirmary,General Surgery,,Glasgow Royal Infirmary,Gastroenterology,,"Drs Dunn, Lynas & Rodgers",General Practice,"Drs Dunn, Lynas & Rodgers, Bridgeton Health Centre, 201 Abercromby Street, Glasgow, G40 2DA (G46606)"
West,ScotW18003,Glasgow Royal Infirmary,Geriatric Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,"Drs Dunn, Lynas & Rodgers",General Practice,"Drs Dunn, Lynas & Rodgers, Bridgeton Health Centre, 201 Abercromby Street, Glasgow, G40 2DA (G46606)",Glasgow Royal Infirmary,General Surgery,,Glasgow Royal Infirmary,Gastroenterology,
West,ScotW18004,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Geriatric Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Respiratory Medicine,,Glasgow Royal Infirmary,Plastic Surgery,,"Drs Cheung, Al-Agilly and Morgan",General Practice,"Drs Cheung, Al-Agilly and Morgan, 463 Edinburgh Road, Glasgow, G33 3AL (G46521)"
West,ScotW18005,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Geriatric Medicine,"Drs Cheung, Al-Agilly & Morgan",General Practice,"Drs Cheung, Al-Agilly & Morgan, 463 Edinburgh Road, Glasgow, G33 3AL (G46521)",Glasgow Royal Infirmary,Respiratory Medicine,,Glasgow Royal Infirmary,Plastic Surgery,
West,ScotW18006,Glasgow Royal Infirmary,Geriatric Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Plastic Surgery,,"Drs Cheung, Al-Agilly and Morgan",General Practice,"Drs Cheung, Al-Agilly and Morgan, 463 Edinburgh Road, Glasgow, G33 3AL (G46521)",Glasgow Royal Infirmary,Respiratory Medicine,
West,ScotW18007,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Geriatric Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Plastic Surgery,,Glasgow Royal Infirmary,Respiratory Medicine,,Glasgow Royal Infirmary,Emergency Medicine,
West,ScotW18008,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Geriatric Medicine,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,Plastic Surgery,,Glasgow Royal Infirmary,Respiratory Medicine,
West,ScotW18009,Glasgow Royal Infirmary,Geriatric Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Respiratory Medicine,,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,Plastic Surgery,
West,ScotW18010,Glasgow Royal Infirmary,General (Internal) Medicine,The Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Urology,,Rowanbank Clinic,Forensic Psychiatry,
West,ScotW18011,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,The  Princess Royal Maternity Unit,Obstetrics and Gynaecology,Rowanbank Clinic,Forensic Psychiatry,,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Urology,
West,ScotW18012,The Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Urology,,Rowanbank Clinic,Forensic Psychiatry,,Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW18013,Glasgow Royal Infirmary,General (Internal) Medicine,The Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,,Skye House,Child and Adolescent Psychiatry,
West,ScotW18014,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,The  Princess Royal Maternity Unit,Obstetrics and Gynaecology,Skye House,Child and Adolescent Psychiatry,,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,
West,ScotW18015,The Princess Royal Maternity Unit,Obstetrics and Gynaecology,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,,Skye House,Child and Adolescent Psychiatry,,Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW19001,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Intensive Care Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Skye House,Child and Adolescent Psychiatry,,Glasgow Royal Infirmary,Emergency Medicine,
West,ScotW19002,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Intensive Care Medicine,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,Geriatric Medicine,,Skye House,Child and Adolescent Psychiatry,
West,ScotW19003,Glasgow Royal Infirmary,Intensive Care Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Skye House,Child and Adolescent Psychiatry,,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW19004,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Intensive Care Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Cardiology,,Glasgow Royal Infirmary,General Psychiatry,General Psychiatry and Liaison Psychiatry,Glasgow Royal Infirmary,General Surgery,
West,ScotW19005,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Intensive Care Medicine,Glasgow Royal Infirmary,General Surgery,,Glasgow Royal Infirmary,Cardiology,,Glasgow Royal Infirmary,General Psychiatry,General Psychiatry and Liaison Psychiatry
West,ScotW19006,Glasgow Royal Infirmary,Intensive Care Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Psychiatry,General Psychiatry and Liaison Psychiatry,Glasgow Royal Infirmary,General Surgery,,Glasgow Royal Infirmary,Cardiology,
West,ScotW19007,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,General Psychiatry,,Glasgow Royal Infirmary,Emergency Medicine,
West,ScotW19008,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,General Psychiatry,
West,ScotW19009,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Psychiatry,,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW19010,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,General Psychiatry,General Psychiatry and Liaison Psychiatry,Glasgow Royal Infirmary,Obstetrics and Gynaecology,
West,ScotW19011,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,General Psychiatry,General Psychiatry and Liaison Psychiatry
West,ScotW19012,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Psychiatry,General Psychiatry and Liaison Psychiatry,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW19013,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,General Surgery,
West,ScotW19014,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Emergency Medicine,
West,ScotW19015,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,General Surgery,,Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW20001,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Rheumatology,,Glasgow Royal Infirmary,Emergency Medicine,,Kenmure Practice,General Practice,"Kenmure Medical Practice, 7 Springfield Road, Bishopbriggs, Glasgow, G64 1PJ (G43171)"
West,ScotW20002,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Kenmure Medical Practice,General Practice,"Kenmure Medical Practice, 7 Springfield Road, Bishopbriggs, Glasgow, G64 1PJ (G43171)",Glasgow Royal Infirmary,Rheumatology,,Glasgow Royal Infirmary,Emergency Medicine,
West,ScotW20003,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Emergency Medicine,,Kenmure Medical Practice,General Practice,"Kenmure Medical Practice, 7 Springfield Road, Bishopbriggs, Glasgow, G64 1PJ (G43171)",Glasgow Royal Infirmary,Rheumatology,
West,ScotW20004,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Marie Curie Hospice,Palliative Medicine,,Glasgow Royal Infirmary,Emergency Medicine,,Stobhill Hospital,General Psychiatry,General Psychiatry and IPCU
West,ScotW20005,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Stobhill Hospital,General Psychiatry,General Psychiatry and IPCU,Marie Curie Hospice,Palliative Medicine,,Glasgow Royal Infirmary,Emergency Medicine,
West,ScotW20006,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Emergency Medicine,,Stobhill Hospital,General Psychiatry,General Psychiatry and IPCU,Marie Curie Hospice,Palliative Medicine,
West,ScotW20007,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,Stobhill Hospital,General Psychiatry,
West,ScotW20008,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Stobhill Hospital,General Psychiatry,,Glasgow Royal Infirmary,General (Internal) Medicine,,Glasgow Royal Infirmary,Obstetrics and Gynaecology,
West,ScotW20009,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,Stobhill Hospital,General Psychiatry,,Glasgow Royal Infirmary,General (Internal) Medicine,
West,ScotW20010,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,,Glasgow Royal Infirmary,Histopathology,
West,ScotW20011,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Histopathology,,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,
West,ScotW20012,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,,Glasgow Royal Infirmary,Histopathology,,Glasgow Royal Infirmary,Geriatric Medicine,"Kenmure Medical Practice, 7 Springfield Road, Bishopbriggs, Glasgow, G64 1PJ (G43171)"
West,ScotW20013,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Medical Microbiology,,Kenmure Practice,General Practice,"Kenmure Medical Practice, 7 Springfield Road, Bishopbriggs, Glasgow, G64 1PJ (G43171)"
West,ScotW20014,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Kenmure Medical Practice,General Practice,"Kenmure Medical Practice, 7 Springfield Road, Bishopbriggs, Glasgow, G64 1PJ (G43171)",Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Medical Microbiology,
West,ScotW20015,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Medical Microbiology,,Kenmure Medical Practice,General Practice,"Kenmure Medical Practice, 7 Springfield Road, Bishopbriggs, Glasgow, G64 1PJ (G43171)",Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW21001,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Gastroenterology,,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,McGlone Practice,General Practice,"McGlone Practice, Baillieston Health Centre, 20 Muirside Road, Baillieston, Glasgow, G69 7AD (G46216)"
West,ScotW21002,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,McGlone Practice,General Practice,"McGlone Practice, Baillieston Health Centre, 20 Muirside Road, Baillieston, Glasgow, G69 7AD (G46216)",Glasgow Royal Infirmary,Gastroenterology,,Glasgow Royal Infirmary,Obstetrics and Gynaecology,
West,ScotW21003,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,McGlone Practice,General Practice,"McGlone Practice, Baillieston Health Centre, 20 Muirside Road, Baillieston, Glasgow, G69 7AD (G46216)",Glasgow Royal Infirmary,Gastroenterology,
West,ScotW21004,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,,McGlone Practice,General Practice,"McGlone Practice, Baillieston Health Centre, 20 Muirside Road, Baillieston, Glasgow, G69 7AD (G46216)"
West,ScotW21005,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,McGlone Practice,General Practice,"McGlone Practice, Baillieston Health Centre, 20 Muirside Road, Baillieston, Glasgow, G69 7AD (G46216)",Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,
West,ScotW21006,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Trauma and Orthopaedic Surgery,,McGlone Practice,General Practice,"McGlone Practice, Baillieston Health Centre, 20 Muirside Road, Baillieston, Glasgow, G69 7AD (G46216)",Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW21007,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Gastroenterology,,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,Drs Mills & Marshall Practice,General Practice,"Drs Mills & Marshall Practice, Gorbals Health Centre, 45 Pine Place, Glasgow, G5 0BQ (G49074)"
West,ScotW21008,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Drs Mills & Marshall Practice,General Practice,"Drs Mills & Marshall Practice, Gorbals Health Centre, 45 Pine Place, Glasgow, G5 0BQ (G49074)",Glasgow Royal Infirmary,Gastroenterology,,Glasgow Royal Infirmary,Obstetrics and Gynaecology,
West,ScotW21009,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,Drs Mills & Marshall Practice,General Practice,"Drs Mills & Marshall Practice, Gorbals Health Centre, 45 Pine Place, Glasgow, G5 0BQ (G49074)",Glasgow Royal Infirmary,Gastroenterology,
West,ScotW21010,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,The Whitevale Medical Group,General Practice,"The Whitevale Medical Group, 30 Whitevale Street, Glasgow, G31 1QS (G46560)",Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Obstetrics and Gynaecology,
West,ScotW21011,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,The Whitevale Medical Group,General Practice,"The Whitevale Medical Group, 30 Whitevale Street, Glasgow, G31 1QS (G46560)",Glasgow Royal Infirmary,Geriatric Medicine,
West,ScotW21012,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Geriatric Medicine,,Glasgow Royal Infirmary,Obstetrics and Gynaecology,,The Whitevale Medical Group,General Practice,"The Whitevale Medical Group, 30 Whitevale Street, Glasgow, G31 1QS (G46560)"
West,ScotW21013,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,Respiratory Medicine,,Stobhill Hospital,General Psychiatry,,Glasgow Royal Infirmary,Emergency Medicine,
West,ScotW21014,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,Respiratory Medicine,,Stobhill Hospital,General Psychiatry,
West,ScotW21015,Glasgow Royal Infirmary,General (Internal) Medicine,Glasgow Royal Infirmary,General Surgery,Glasgow Royal Infirmary,General (Internal) Medicine,Stobhill Hospital,General Psychiatry,,Glasgow Royal Infirmary,Emergency Medicine,,Glasgow Royal Infirmary,Respiratory Medicine,
